Id,Aum,DiscretionaryInvestmentAumPercent,AverageBasisPointsForAdvisory
387,9000000.0,50.0,0.0
388,132000000.0,60.0,0.0
389,132000000.0,60.0,0.0
390,156000000.0,60.0,100.0
391,72000000.0,85.0,85.0
392,519300356.0,12.0,0.0
393,50000000.0,70.0,65.0
394,105000000.0,50.0,0.0
395,175000000.0,50.0,85.0
396,71000000.0,100.0,95.0
397,155000000.0,90.0,110.0
398,71000000.0,100.0,95.0
399,165000000.0,60.0,100.0
400,72040378.0,77.0,1.0
401,72040378.0,77.0,1.0
402,72040378.0,77.0,1.0
403,141000000.0,10.0,100.0
404,152000000.0,10.0,101.0
405,38000000.0,0.0,0.0
406,100490088.0,60.0,1.1
407,90441079.0,51.0,0.0
408,35000000.0,0.0,0.0
409,72000000.0,0.0,90.0
410,81000000.0,0.0,85.0
411,90000000.0,0.0,90.0
412,358909505.0,48.0,0.0
413,330000000.0,20.0,0.0
414,390000000.0,10.0,100.0
415,200500000.0,0.0,80.0
416,24700000.0,0.0,0.0
417,24600000.0,0.0,0.0
418,30000000.0,0.0,0.0
420,142000000.0,36.0,121.0
421,142000000.0,46.43,117.0
422,0.0,56.7,90.0
423,135649031.0,56.7,1.15
424,225000000.0,90.0,0.0
425,39730214.0,0.0,0.0
426,65569169.0,56.0,0.0
427,485000000.0,100.0,0.0
428,122178756.0,63.0,0.0
430,123415000.0,63.0,1.35
431,400000000.0,0.0,0.0
432,400000000.0,63.0,74.0
433,202020000.0,100.0,0.0
434,251000000.0,32.0,1.25
435,270000000.0,32.0,1.25
436,41500000.0,0.0,100.0
437,78000000.0,0.0,1.5
438,79037462.0,0.0,124.0
439,240000000.0,50.0,125.0
440,964000000.0,79.0,60.0
441,31281312.0,100.0,100.0
442,762790156.0,47.0,0.7
443,6000000.0,0.0,0.0
444,25000000.0,0.0,0.0
445,72000000.0,90.0,100.0
447,0.0,100.0,66.0
448,200000000.0,100.0,100.0
449,10858499.0,100.0,90.0
450,145000000.0,50.0,75.0
451,45000000.0,85.0,110.0
452,35000000.0,95.0,0.9
453,700000000.0,97.0,1.1
454,700000000.0,99.0,1.1
455,64213000.0,100.0,89.0
456,17000000.0,100.0,1.5
458,100000000.0,85.0,100.0
459,1980000000.0,90.0,75.0
460,85000000.0,100.0,1.25
461,31000000.0,100.0,90.0
462,25000000.0,40.0,0.0
463,300000000.0,90.0,70.0
465,187755803.0,63.0,75.0
466,240000000.0,100.0,1.0
467,67000000.0,20.0,1.5
468,315376135.0,100.0,80.0
469,25000000.0,0.0,100.0
470,50000000.0,100.0,72.0
471,33000000.0,70.0,130.0
474,160000000.0,100.0,1.0
475,160000000.0,66.0,1.0
476,160000000.0,66.0,1.0
477,124970312.0,15.0,1.0
478,700.0,50.0,85.0
479,145000000.0,0.0,104.0
480,164420000.0,0.0,104.0
481,150000000.0,92.0,90.0
482,135000000.0,90.0,150.0
483,971000000.0,100.0,70.0
484,622266128.0,97.0,80.0
485,550000000.0,92.0,0.75
486,91000000.0,50.0,1.25
487,25000000.0,100.0,85.0
488,95000000.0,50.0,75.0
489,95000000.0,75.0,1.25
490,104500000.0,100.0,71.0
491,42000000.0,80.0,1.15
492,425000000.0,85.0,1.25
493,29542000.0,0.0,120.0
495,128000000.0,90.0,1.0
496,18000000.0,40.0,10.0
497,41355000.0,0.0,113.0
498,40842000.0,40.0,100.0
499,115000000.0,95.0,100.0
500,38000000.0,5.0,1.25
501,47000000.0,90.0,80.0
502,220000000.0,98.0,100.0
503,92000000.0,100.0,100.0
505,66600000.0,0.0,0.75
506,68000000.0,0.0,0.9
507,25000000.0,50.0,1.5
508,199000000.0,97.5,72.0
509,199000000.0,97.5,72.0
510,0.0,100.0,1.1
511,900000000.0,100.0,55.0
512,500566329.0,1.0,100.0
513,2000.0,0.0,0.0
514,737000000.0,84.0,165.0
515,130000000.0,62.0,1.15
516,25000000.0,50.0,0.75
518,130283058.0,97.0,99.0
519,60000000.0,100.0,71.0
520,1000000000.0,35.0,100.0
521,51000000.0,90.0,0.65
522,51000000.0,90.0,0.65
523,4000000.0,80.0,100.0
524,40000000.0,80.0,1.0
525,235000000.0,85.0,82.0
526,110000000.0,75.0,100.0
527,55000000.0,100.0,100.0
528,55000000.0,100.0,85.0
529,205000000.0,100.0,100.0
530,40000000.0,75.0,130.0
531,40000000.0,75.0,130.0
532,27000000.0,60.0,1.0
534,255000000.0,100.0,1.0
535,91000000.0,85.0,90.0
537,148000000.0,80.0,60.0
538,67392398.0,48.0,100.0
539,480000000.0,100.0,0.5
540,20000000.0,1.0,1.0
541,10734021.0,38.0,1.56
543,165000000.0,100.0,0.01
544,24350349.0,5.0,1.0
545,0.0,20.0,10.0
547,45523748.0,0.0,0.0
548,46060869.0,37.0,1.5
549,310000000.0,99.0,1.0
550,100000000.0,50.0,100.0
551,18000000.0,50.0,100.0
552,14000000.0,0.0,1.0
553,30000000.0,100.0,100.0
554,316628000.0,90.0,1.0
555,200000000.0,75.0,100.0
556,318000000.0,35.0,100.0
557,2000000000.0,100.0,57.0
558,1000000000.0,100.0,71.0
559,860000000.0,100.0,50.0
560,820000000.0,100.0,60.0
561,140000000.0,80.0,80.0
562,109000000.0,0.0,100.0
563,109200000.0,0.0,1.0
564,50000000.0,0.0,0.0
565,100000000.0,80.0,100.0
567,79147657.0,24.45,118.0
568,700000000.0,100.0,80.0
570,22000000.0,0.0,0.0
571,350000000.0,100.0,0.7
572,10734021.0,38.0,1.56
574,3000000000.0,20.0,95.0
576,100930626.0,0.0,1.25
577,701000000.0,85.0,130.0
578,701000000.0,85.0,130.0
579,1400000000.0,100.0,75.0
