id,firmannualreportid,age,yearjoinedfirm
519,434,55.0,2016.0
520,434,68.0,2013.0
521,434,55.0,2017.0
522,434,42.0,2016.0
523,434,49.0,2013.0
524,434,60.0,2013.0
525,434,60.0,2014.0
526,434,45.0,20154.0
527,435,45.0,2013.0
528,435,43.0,2013.0
529,435,38.0,2015.0
530,435,40.0,2014.0
531,435,43.0,2016.0
532,435,41.0,2014.0
533,435,55.0,2013.0
534,435,48.0,2014.0
535,435,51.0,2012.0
536,435,60.0,2010.0
537,435,48.0,2015.0
538,435,65.0,2010.0
539,435,65.0,2010.0
540,435,52.0,2013.0
541,435,35.0,2016.0
542,435,39.0,2014.0
543,435,54.0,2012.0
544,435,55.0,2016.0
545,435,68.0,2013.0
546,435,55.0,2017.0
547,435,42.0,2016.0
548,435,49.0,2013.0
549,435,60.0,2013.0
550,435,60.0,2014.0
551,435,45.0,20154.0
552,445,46.0,2010.0
553,446,37.0,2013.0
554,448,39.0,2016.0
555,448,62.0,2014.0
556,448,55.0,2016.0
557,449,57.0,2017.0
558,455,39.0,2017.0
559,463,40.0,2005.0
560,464,56.0,2013.0
561,464,34.0,2016.0
562,464,52.0,2014.0
563,464,52.0,2012.0
564,464,49.0,2016.0
565,465,27.0,2013.0
566,467,25.0,2014.0
567,469,56.0,2013.0
568,470,44.0,2060.0
569,472,33.0,2011.0
570,472,50.0,2013.0
571,472,55.0,2011.0
572,473,41.0,2008.0
573,476,44.0,2017.0
574,476,44.0,2017.0
575,476,44.0,2017.0
576,481,43.0,2017.0
577,482,22.0,2014.0
578,482,51.0,2008.0
579,488,61.0,2016.0
580,489,61.0,2016.0
581,490,26.0,2013.0
582,490,29.0,2017.0
583,491,30.0,2011.0
584,491,31.0,2011.0
585,491,32.0,2010.0
586,491,35.0,2010.0
587,497,29.0,2012.0
588,497,35.0,2014.0
589,497,36.0,2013.0
590,498,40.0,2016.0
591,500,34.0,2016.0
592,500,55.0,2016.0
593,500,40.0,2016.0
594,500,38.0,2016.0
595,501,56.0,2016.0
596,502,56.0,2016.0
597,515,55.0,2011.0
598,516,28.0,2015.0
599,516,39.0,2017.0
600,518,62.0,2012.0
601,519,45.0,2008.0
602,520,57.0,2007.0
